input,target
"Senjō no Valkyria 3 : Unrecorded Chron_cles ( Japanese : 戦場のヴァルキュリア3 , lit .","Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3 , lit ."
"Released in January 2011 in Japan , it is the third game [LINE_GAP] .","Released in January 2011 in Japan , it is the third game in the Valkyria series ."
"The game began development in [WORD_GAP] , carrying over a large portion of the [W_RD_GAP] done on Valkyria [WORD_GAP] II .","The game began development in 2010 , carrying over a large portion of the work done on Valkyria Chronicles II ."
"While it reta_ned the standard features of the series , it also underwent multiple adjustments , su_h as mak_ng the game more forgiving for series newcomers .","While it retained the standard features of the series , it also underwent multiple adjustments , such as making the game more forgiving for series newcomers ."
"Character designer Raita Honjou and composer [WORD_GAP] Sakimoto both returned from [WORD_GAP] entries , along with Valkyria Chronicles II director Takeshi Ozawa .","Character designer Raita Honjou and composer Hitoshi Sakimoto both returned from previous entries , along with Valkyria Chronicles II director Takeshi Ozawa ."
A large team of writers ha_dled the script .,A large team of writers handled the script .
The game 's ope_ing theme was sung by May 'n .,The game 's opening theme was sung by May 'n .
"It met with positive sales in Japan , and was praised by [LINE_GAP] western critics .","It met with positive sales in Japan , and was praised by both Japanese and western critics ."
"[WORD_GAP] release , it [WORD_GAP] downloadable content , along with an expanded editi_n in November of that year .","After release , it received downloadable content , along with an expanded edition in November of that year ."
It was also adapted [LINE_GAP] and an original video animation series .,It was also adapted into manga and an original video animation series .
Media.Vision would return [WORD_GAP] the franchise with the development of [WORD_GAP] : Azure Revolution for the PlayStation 4 [WORD_GAP],Media.Vision would return to the franchise with the development of Valkyria : Azure Revolution for the PlayStation 4 .
"The player progresses through a series of linear missions , gradually unlocked as maps that can be freely scanned through and replayed as they are un_ocked .","The player progresses through a series of linear missions , gradually unlocked as maps that can be freely scanned through and replayed as they are unlocked ."
"Outside missions , [WORD_GAP] [WORD_GAP] characters rest in [WORD_GAP] [WORD_GAP] , [WORD_GAP] units [WORD_GAP] be [WORD_GAP] [WORD_GAP] character growth occurs .","Outside missions , the player characters rest in a camp , where units can be customized and character growth occurs ."
"After the game 's [WORD_GAP] , additional episodes are unlocked , some of them having a [WORD_GAP] [WORD_GAP] than those found in the rest of [WORD_GAP] game [WORD_GAP]","After the game 's completion , additional episodes are unlocked , some of them having a higher difficulty than those found in the rest of the game ."
"There are also love simulation elements [WORD_GAP] to the game [WORD_GAP] two main heroines , although they take a very minor role .","There are also love simulation elements related to the game 's two main heroines , although they take a very minor role ."
"The game 's battle system , the BliTZ system , is carried [WO_D_GAP] directly from Valkyira Chronicles .","The game 's battle system , the BliTZ system , is carried over directly from Valkyira Chronicles ."
Each character has a field and distance of mo_ement limited by their Action Gauge .,Each character has a field and distance of movement limited by their Action Gauge .
Up to nine characters can [LINE_GAP] to a single mission .,Up to nine characters can be assigned to a single mission .
"Each chara_ter has specific "" Potentials "" , sk_lls unique to ea_h ch_racter .","Each character has specific "" Potentials "" , skills unique to each character ."
"Troops are divided into five clas_es [WORD_GAP] Scouts , [_ORD_GAP] , Engineers , Lancers and Armored S_ldier .","Troops are divided into five classes : Scouts , Shocktroopers , Engineers , Lancers and Armored Soldier ."
Troopers [LINE_GAP] by changing their assigned weapon .,Troopers can switch classes by changing their assigned weapon .
Changing class does not greatly affect the [WORD_GAP] [WORD_GAP] [WORD_GAP] in [WORD_GAP] previous class .,Changing class does not greatly affect the stats gained while in a previous class .
The game takes place dur_ng the Second Eu_opan War .,The game takes place during the Second Europan War .
"Toge_her with their fellow squad members , these three are tasked to fight against a mysterious Imperial [WORD_GAP] known as Calamity Raven , consisting of mostly Darcsen soldiers .","Together with their fellow squad members , these three are tasked to fight against a mysterious Imperial unit known as Calamity Raven , consisting of mostly Darcsen soldiers ."
While at [WORD_GAP] this works to [WORD_GAP] advantage [WORD_GAP] such as a successful [WORD_GAP] into Imperial territory [WORD_GAP] other orders cause certain members of the 422nd great [WORD_GAP] .,"While at times this works to their advantage , such as a successful incursion into Imperial territory , other orders cause certain members of the 422nd great distress ."
"At the same time , elements within Gallian Army Command move to erase the [LINE_GAP] order to protect their own interests .","At the same time , elements within Gallian Army Command move to erase the Nameless in order to protect their own interests ."
"Now owing allegiance to none other than themselves , the [WORD_GAP] confronts Dahau [WORD_GAP] destroys [WORD_GAP] Valkyrian [WORD_GAP] .","Now owing allegiance to none other than themselves , the 422nd confronts Dahau and destroys the Valkyrian weapon ."
Each member then goes their separate ways in order to [LINE_GAP] lives anew .,Each member then goes their separate ways in order to begin their lives anew .
"Concept work for [WORD_GAP] Chronicles III began after development [WORD_GAP] on Valkyria Chronicles [WORD_GAP] in early 2010 , with full [WORD_GAP] beginning shortly after this .","Concept work for Valkyria Chronicles III began after development finished on Valkyria Chronicles II in early 2010 , with full development beginning shortly after this ."
"The director of Valkyria Chronicles II , Takeshi Ozawa , retur_ed to that role for Valkyria Chronicles III .","The director of Valkyria Chronicles II , Takeshi Ozawa , returned to that role for Valkyria Chronicles III ."
Development work took approximately one ye_r .,Development work took approximately one year .
"In addition to Sega staff [WORD_GAP] the previous gam_s , development work was a_so handled by Media.Vision.","In addition to Sega staff from the previous games , development work was also handled by Media.Vision."
"The original scenario was written Kazuki Yamanobe , while the scri_t was written by Hiroyuki Fujii , Koichi Majima , Kishiko Miyagi , Seiki Nagakawa and Takayuki Shouji .","The original scenario was written Kazuki Yamanobe , while the script was written by Hiroyuki Fujii , Koichi Majima , Kishiko Miyagi , Seiki Nagakawa and Takayuki Shouji ."
Its story was da_ker and more somber than that of its predecessor .,Its story was darker and more somber than that of its predecessor .
"The majority of material created for previous games , such as the BLiTZ system and the design of maps [LINE_GAP] .","The majority of material created for previous games , such as the BLiTZ system and the design of maps , was carried over ."
A part of this upgrade involved creating unique polygon models for each character 's [WORD_GAP] .,A part of this upgrade involved creating unique polygon models for each character 's body .
They also adjusted the difficulty settings and ease of play so they could appeal to new players while retaining the es_ential components of the series ' gameplay .,They also adjusted the difficulty settings and ease of play so they could appeal to new players while retaining the essential components of the series ' gameplay .
The new_r systems were decided upon early in development .,The newer systems were decided upon early in development .
"The char_cter designs were done by Raita Honjou , who had work_d on the p_evious Valkyria Chronicles ga_es .","The character designs were done by Raita Honjou , who had worked on the previous Valkyria Chronicles games ."
[LINE_GAP] of the Nameless was black .,The main color of the Nameless was black .
"As with the previous Valkyria games , Valkyria Chronicles III us_d the CANVAS graphics engine [WORD_GAP]","As with the previous Valkyria games , Valkyria Chronicles III used the CANVAS graphics engine ."
The anime opening was produced [WORD_GAP] [WORD_GAP] I.G.,The anime opening was produced by Production I.G.
"The [WORD_GAP] was composed [WORD_GAP] [WORD_GAP] Sakimoto , who had also worked on the previous Valkyria Chronicles games [WORD_GAP]","The music was composed by Hitoshi Sakimoto , who had also worked on the previous Valkyria Chronicles games ."
